"Ean","Quofi","Quofi-Titel","_type"
"8714186473030","33.64","Intersteel WC-overslag - met bocht - met tekst ""vrij/bezet"" - chroom","dict"
"8714186519660","33.64","Intersteel wc-overslag - met bocht - groen/rood - chroom","dict"
"8714186473115","33.64","Intersteel WC-overslag - vlak - met tekst ""vrij/bezet"" - chroom","dict"
"8714186079546","122.55","Intersteel veiligheidsrozetten - SKG*** - met kerntrekbeveiliging - chroom","dict"
"8714186101919","83.56","Intersteel veiligheidsrozetten - SKG*** - massief - vierkant - chroom","dict"
"8714186069318","289.76","Intersteel veiligheidsbeslag greep/kruk - SKG*** met kerntrekbeveiliging - PC 72 - chroom","dict"
"8714186428207","269.79","Intersteel veiligheidsbeslag kruk/kruk - SKG*** met kerntrekbeveiliging - PC 72 - chroom","dict"
"8714186022368","56.95","Intersteel voordeurknop paddenstoel - ø 57 mm - chroom","dict"
"8714186023273","51.26","Intersteel voordeurknop rond zwaar - ø 72 mm - chroom","dict"
"8714186023259","10.41","Intersteel afdekplaatje - tbv bout voordeurknop - chroom","dict"
"8714186122839","71.20","Intersteel trekbel garnituur - chroom","dict"
"8714186023365","27.50","Intersteel beldrukker - ovaal - 60x32 mm - chroom","dict"
"8714186091425","20.38","Intersteel deurbel - rond 50 mm - verdekt - chroom","dict"
"8714186023372","28.45","Intersteel beldrukker - smal - recht - 76x25 mm - chroom","dict"
"8714186023426","75.95","Intersteel briefplaat rechthoekig - met klep/regenrand - 325x77 mm - chroom","dict"
"8714186023402","77.85","Intersteel briefplaat - rechthoekig met veer - 348x75 mm - chroom","dict"
"8714186023396","85.45","Intersteel briefplaat - ovaal met veer - 343x77 mm - chroom","dict"
"8714186046593","95.95","Intersteel tochtklep - ovaal - 342x78 mm - chroom","dict"
"8714186128633","77.85","Intersteel tochtwering - rechthoekig - 325x75 mm - chroom","dict"
"8714186384787","10.41","Intersteel deurspion zichtveld 180° - Ø14 mm - deurdikte 35/60 mm - chroom","dict"
"8714186023303","60.75","Intersteel deurklopper - rond - 107 mm - chroom","dict"
"8714186055977","25.60","Intersteel deurstop met ring - Ø 32x45 mm - vloermontage - chroom","dict"
"8714186023655","18.96","Intersteel deurstop bolrond -  Ø 45x22,5 mm - vloermontage - chroom","dict"
"8714186023662","32.63","Intersteel deurstop recht model - 84 mm lang - wandmontage - chroom","dict"
"8714186093191","14.21","Intersteel schuifdeurkom - 120x40 mm - chroom","dict"
"8714186011522","10.97","Intersteel sierhuls - 40/40 mm - chroom","dict"
"8714186473214","17.05","Intersteel raamsluiting - Ton - rechts - chroom/ebbenhout","dict"
"8714186473221","17.05","Intersteel raamsluiting - Ton - links - chroom/ebbenhout","dict"
"8714186473283","26.56","Intersteel raamuitzetter - Ton - met stelpennen - chroom","dict"
"8714186022818","17.05","Intersteel sluitplaat met kom - 70x30 mm - chroom","dict"
"8714186022856","39.86","Intersteel Raamsluiting + nok ferraro rechts chroom","dict"
"8714186022849","39.86","Intersteel Raamsluiting + nok ferraro links chroom","dict"
"8714186023495","46.50","Intersteel raamuitzetter met stelpen - chroom","dict"
"8714186314708","25.60","Intersteel raamkruk - Emily - chroom","dict"
"8714186116340","116.85","Intersteel raamkruk - Bau-Stil - afsluitbaar - 7 mm stift - chroom","dict"
"8714186147962","113.05","Intersteel raamkruk op rozet - Ton 400 - afsluitbaar - ovaal - chroom","dict"
"8714186147979","113.05","Intersteel raamkruk op rozet - Ton 222 - afsluitbaar - ovaal - chroom","dict"
"8714186130650","133.95","Intersteel afsluitbare raamsluiting - Ton 222 - SKG* - rechts - chroom/ebbenhout","dict"
"8714186130834","133.95","Intersteel afsluitbare raamsluiting - Ton 222 - SKG* - links - chroom/ebbenhout","dict"
"8714186130711","133.95","Intersteel afsluitbare raamsluiting - Ton 400 - SKG* - rechts - chroom/ebbenhout","dict"
"8714186130896","133.95","Intersteel afsluitbare raamsluiting - Ton 400 - SKG* - links - chroom/ebbenhout","dict"
"8714186023501","4.26","Intersteel kapstokhaak - scheepsmodel - enkel - chroom","dict"
"8714186023471","7.11","Intersteel kapstokhaak - scheepsmodel - lang - chroom","dict"
"8714186023518","6.16","Intersteel kapstokhaak - scheepsmodel - dubbel - chroom","dict"
"8714186055496","11.16","Intersteel leuninghouder - opschroevend - vlak zadel - verchroomd","dict"
"8714186022412","11.36","Intersteel kapstokhaak - ovaal - chroom","dict"
"8714186055489","11.16","Intersteel leuninghouder - opschroevend - hol zadel - chroom","dict"
"8714186112069","11.16","Intersteel leuninghouder - hol zadel - chroom","dict"
"8714186023631","11.16","Intersteel leuninghouder - blinde achterplaat - vlak zadel - chroom","dict"
"8714186056004","44.89","Intersteel deurkruk met rozet - Jupiter - mat chroom","dict"
